date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T11:00,11.4,
2026-06-25,2026-06-25T16:00,17.7,
2026-06-26,2026-06-25T21:30,10.2,50.4
2026-06-26,2026-06-25T21:30,10.2,50.4
2026-06-26,2026-06-25T21:45,10.0,50.0
2026-06-26,2026-06-26T11:45,18.2,64.8
2026-06-26,2026-06-26T15:45,20.7,69.3
2026-06-27,2026-06-27T02:00,7.4,45.3
2026-06-27,2026-06-27T09:45,8.1,46.6
2026-06-27,2026-06-27T14:30,9.9,49.8
2026-06-28,2026-06-28T02:30,2.6,36.7
2026-06-28,2026-06-28T10:00,1.5,34.7
2026-06-28,2026-06-28T14:30,5.0,41.0
2026-06-29,2026-06-29T07:15,0.6,33.1
2026-06-29,2026-06-29T15:45,6.0,42.8
2026-06-30,2026-06-30T04:30,3.9,39.0
2026-06-30,2026-06-30T12:15,10.1,50.2
2026-07-01,2026-07-01T04:45,2.5,36.5
2026-07-01,2026-07-01T12:30,15.7,60.3
2026-07-02,2026-07-02T02:30,5.1,41.2
2026-07-02,2026-07-02T12:15,16.2,61.2
2026-07-03,2026-07-03T03:45,4.7,40.5
2026-07-03,2026-07-03T11:00,15.0,59.0
2026-07-04,2026-07-04T02:00,7.9,46.2
2026-07-04,2026-07-04T09:45,14.3,57.7
2026-07-04,2026-07-04T14:30,21.0,69.8
2026-07-05,2026-07-05T02:30,9.3,48.7
2026-07-05,2026-07-05T09:45,16.9,62.4
2026-07-05,2026-07-05T14:30,24.2,75.6
2026-07-06,2026-07-06T06:15,8.8,47.8
2026-07-06,2026-07-06T16:00,23.3,73.9
2026-07-07,2026-07-07T10:00,16.4,61.5
2026-07-07,2026-07-07T15:45,21.9,71.4
2026-07-08,2026-07-08T01:15,11.5,52.7
2026-07-08,2026-07-08T11:00,18.6,65.5
2026-07-09,2026-07-09T04:30,9.2,48.6
2026-07-09,2026-07-09T12:15,20.7,69.3
2026-07-10,2026-07-10T04:30,7.6,45.7
2026-07-10,2026-07-10T12:00,21.6,70.9
2026-07-11,2026-07-11T00:15,12.8,55.0
2026-07-11,2026-07-11T04:30,8.0,46.4
2026-07-11,2026-07-11T09:30,16.4,61.5
2026-07-11,2026-07-11T14:00,25.8,78.4
2026-07-12,2026-07-12T01:30,12.9,55.2
2026-07-12,2026-07-12T09:30,15.8,60.4
2026-07-12,2026-07-12T14:00,29.1,84.4
2026-07-13,2026-07-13T02:30,18.6,65.5
2026-07-13,2026-07-13T12:15,26.9,80.4
2026-07-14,2026-07-14T00:15,17.0,62.6
2026-07-14,2026-07-14T05:45,12.2,54.0
2026-07-14,2026-07-14T10:30,22.0,71.6
2026-07-14,2026-07-14T14:30,28.2,82.8
2026-07-15,2026-07-15T00:15,15.2,59.4
2026-07-15,2026-07-15T06:00,11.5,52.7
2026-07-15,2026-07-15T14:30,22.5,72.5
2026-07-16,2026-07-16T00:30,14.5,58.1
