date,max_temp,min_temp
2021-06-01,16.1,3.6
2021-06-02,18.5,2.2
2021-06-03,16.8,2.3
2021-06-04,17.0,5.0
2021-06-05,17.2,7.0
2021-06-06,14.8,4.3
2021-06-07,17.1,4.8
2021-06-08,17.8,6.2
2021-06-09,20.5,5.5
2021-06-10,12.3,-0.1
2021-06-11,11.7,-1.6
2021-06-12,18.2,3.4
2021-06-13,23.5,4.2
2021-06-14,25.2,6.8
2022-06-01,9.0,-0.3
2022-06-02,12.9,0.5
2022-06-03,12.9,1.4
2022-06-04,10.8,2.5
2022-06-05,8.7,2.3
2022-06-06,8.6,2.1
2022-06-07,8.9,1.4
2022-06-08,9.8,1.4
2022-06-09,13.1,3.2
2022-06-10,15.6,5.5
2022-06-11,13.7,5.0
2022-06-12,8.8,4.4
2022-06-13,6.0,-0.2
2022-06-14,3.3,-1.7
2023-06-01,11.8,1.1
2023-06-02,9.3,2.2
2023-06-03,10.2,2.9
2023-06-04,11.8,1.5
2023-06-05,13.8,1.9
2023-06-06,19.0,4.1
2023-06-07,18.5,1.7
2023-06-08,15.3,2.9
2023-06-09,17.3,2.4
2023-06-10,15.9,2.7
2023-06-11,15.5,3.0
2023-06-12,14.7,3.2
2023-06-13,15.7,3.1
2023-06-14,12.7,5.1
2024-06-01,12.1,0.9
2024-06-02,11.3,3.6
2024-06-03,6.8,4.2
2024-06-04,11.3,1.9
2024-06-05,16.1,5.4
2024-06-06,16.6,4.8
2024-06-07,16.8,6.5
2024-06-08,16.6,6.6
2024-06-09,16.0,4.9
2024-06-10,15.3,6.2
2024-06-11,18.7,3.2
2024-06-12,20.2,7.4
2024-06-13,20.9,4.7
2024-06-14,21.5,7.2
2025-06-01,20.9,5.9
2025-06-02,12.9,3.9
2025-06-03,11.8,-0.6
2025-06-04,12.9,-1.2
2025-06-05,13.6,-0.0
2025-06-06,16.0,0.7
2025-06-07,17.7,5.5
2025-06-08,18.8,5.9
2025-06-09,21.1,3.5
2025-06-10,21.3,6.3
2025-06-11,19.5,5.7
2025-06-12,18.6,5.0
2025-06-13,20.2,5.8
2025-06-14,19.9,7.1
